cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
0.21822,-3.72446,0.65284,-2.38275,-3.50094,-4.35116,-3.04972,-4.46987,-4.03870,-4.18862,-3.77477,-3.38036,-4.10775
0.26006,-3.89657,0.57369,-2.78052,-3.81787,-4.36440,-3.16716,-4.67264,-4.27068,-4.19403,-3.86311,-3.66596,-4.16930
0.31670,-3.93495,0.60364,-2.80073,-3.89222,-4.42251,-3.19677,-4.73931,-4.24203,-4.35245,-3.89846,-3.52204,-4.28299
0.35783,-3.85026,0.57652,-2.85313,-3.71654,-4.49321,-3.14645,-4.63483,-4.13458,-4.29000,-3.76227,-3.46490,-4.00666
0.36454,-3.92531,0.59982,-2.91109,-3.75548,-4.39205,-3.24110,-4.90751,-4.29218,-4.31511,-3.67779,-3.58200,-4.17876
0.39798,-3.85184,0.58604,-2.84394,-3.68043,-4.17678,-3.07987,-4.67376,-4.37968,-4.30598,-3.57761,-3.67219,-4.12813
0.41083,-3.79764,0.64368,-2.75232,-3.91736,-4.09072,-2.83250,-4.62743,-4.38008,-4.31018,-3.74730,-3.28967,-4.02882
0.40112,-3.77738,0.66745,-2.92269,-4.05900,-4.08090,-2.56598,-4.68365,-4.35686,-4.03784,-3.68476,-3.24863,-4.13350
0.37051,-3.70032,0.64369,-2.82999,-4.26332,-3.95410,-2.51315,-4.40638,-4.21940,-3.91963,-3.72843,-3.17389,-3.99495
0.35238,-3.58025,0.62019,-2.75363,-4.17357,-4.01420,-2.52806,-4.12744,-4.01616,-4.02140,-3.53748,-2.92494,-3.70559
0.31298,-3.53387,0.66416,-2.54416,-4.18179,-3.98122,-2.57312,-4.10083,-3.95552,-4.04433,-3.49852,-2.72899,-3.73022
0.23818,-3.56635,0.73005,-2.59748,-4.36996,-4.09888,-2.28575,-3.93056,-4.03134,-4.10135,-3.60406,-2.80592,-3.83821
0.20728,-3.30935,0.86932,-2.36166,-4.31950,-3.85921,-1.51286,-3.46175,-3.86179,-3.94764,-3.40711,-2.64489,-3.71710
0.16152,-3.07273,1.42586,-2.32772,-4.43340,-3.92740,0.57691,-3.27034,-3.94094,-3.87781,-3.33966,-2.68858,-3.49833
0.07540,-3.26818,1.30855,-2.54467,-4.54845,-4.04095,0.08084,-3.53258,-4.10760,-3.89807,-3.50920,-2.97061,-3.61048
0.04802,-2.97441,1.50668,-2.34730,-4.26320,-3.90213,0.94630,-3.06946,-4.05780,-3.79721,-3.08809,-2.73070,-3.43451
0.01284,-3.04485,1.53064,-2.53040,-4.37461,-3.89481,1.00440,-3.11915,-4.18515,-3.67907,-3.15340,-3.01010,-3.50627
-0.02844,-3.32146,1.23337,-2.62342,-4.62193,-4.17181,-0.30910,-3.24315,-4.35646,-3.85426,-3.44239,-2.88505,-3.70702
-0.06464,-3.18065,1.26543,-2.63016,-4.40161,-3.98218,0.00853,-3.20940,-4.07758,-3.95424,-3.07323,-2.80650,-3.68012
-0.06059,-3.34980,1.05727,-2.55816,-4.53805,-4.16226,-0.86303,-3.38845,-4.05941,-3.93590,-3.39954,-2.89597,-3.69723
-0.05756,-3.54919,0.72383,-2.65810,-4.71141,-4.00360,-2.35601,-3.38595,-4.12370,-4.03532,-3.39945,-3.03114,-3.78720
-0.05194,-3.80259,0.76659,-2.73802,-4.76512,-4.30213,-2.43346,-3.99603,-4.43850,-4.18917,-3.86743,-3.16744,-4.12864
0.00794,-3.83484,0.69655,-2.91088,-4.52937,-4.16578,-2.55380,-4.12230,-4.51759,-4.21374,-3.85564,-3.20623,-4.27310
0.06656,-3.79849,0.69114,-2.60841,-4.24641,-4.35098,-2.71698,-4.44577,-4.21187,-4.25473,-3.73756,-3.26538,-4.14680
0.11814,-3.96698,0.65144,-2.89930,-4.39202,-4.48602,-3.10304,-4.58272,-4.44001,-4.31687,-3.75860,-3.26045,-4.43073
0.21275,-4.05903,0.66394,-2.89649,-4.34511,-4.36212,-3.28943,-4.92595,-4.56646,-4.49975,-3.92693,-3.35454,-4.42354
0.29646,-4.30835,0.69348,-3.03951,-4.26056,-4.82275,-3.54572,-5.32321,-4.97841,-4.67245,-4.24947,-3.80901,-4.38245
0.35777,-4.29907,0.68740,-3.08190,-4.46996,-4.77298,-3.57687,-5.37289,-4.91260,-4.59755,-4.18116,-3.69699,-4.32777
0.45341,-4.09870,0.69361,-2.70373,-4.09780,-4.61156,-3.56198,-5.02554,-4.71869,-4.51476,-4.15117,-3.45729,-4.14454
0.52119,-4.22304,0.73873,-2.73439,-4.41258,-4.73709,-3.54304,-5.18932,-4.91575,-4.65223,-4.25912,-3.65208,-4.13483
0.54743,-4.04467,0.69633,-2.64851,-4.13426,-4.66424,-3.47578,-5.14368,-4.55027,-4.30322,-3.89501,-3.67142,-3.96030
0.59918,-3.99176,0.71062,-2.56434,-4.21169,-4.56937,-3.29129,-4.99159,-4.47743,-4.40880,-3.88696,-3.52905,-3.98711
0.61159,-3.78159,0.66389,-2.48649,-3.82385,-4.25256,-3.25852,-4.85735,-4.27265,-4.15354,-3.57999,-3.31908,-3.81185
0.57260,-3.80881,0.62276,-2.73243,-4.01091,-4.25465,-3.06729,-4.76192,-4.32865,-4.01023,-3.83720,-3.24207,-3.84270
0.54588,-3.70060,0.65011,-2.75879,-4.26493,-4.10657,-2.63660,-4.41027,-4.16313,-4.00664,-3.67442,-3.04362,-3.94106
0.47912,-3.45054,0.65099,-2.66449,-4.08455,-4.30965,-2.46970,-4.10145,-3.46903,-3.81060,-3.37942,-2.72024,-3.49632
0.36611,-3.19369,0.76272,-2.69136,-4.01609,-4.24094,-1.55017,-3.37686,-3.43491,-3.62475,-3.16327,-2.71919,-3.11937
0.27131,-2.92951,0.90111,-2.22160,-3.61123,-4.28727,-0.93348,-2.91258,-3.41830,-3.38443,-2.86529,-2.68118,-2.97973
0.14885,-2.65780,1.55351,-2.04896,-3.47242,-4.12989,1.43903,-3.03225,-3.71460,-3.16364,-2.76502,-2.57998,-3.11025
-0.00360,-2.40294,1.54992,-0.99661,-3.04045,-3.80708,1.27090,-2.54831,-4.06140,-3.02771,-2.12083,-2.59615,-3.10178
-0.12456,-2.23956,1.46706,-1.40832,-2.45106,-3.43204,1.44899,-2.35700,-3.69735,-3.27957,-1.97232,-2.52215,-2.72483
-0.25087,-2.09573,1.52873,-1.18085,-2.41211,-3.13563,1.48137,-2.04739,-3.81225,-3.30973,-1.10922,-2.55079,-2.88071
-0.38106,-2.15207,1.47744,-1.70330,-2.55677,-3.16192,1.34880,-2.01395,-3.80898,-3.31531,-1.00297,-2.47401,-2.83233
-0.44661,-2.35697,1.52283,-1.85908,-2.76571,-3.40399,1.35764,-2.14029,-4.13156,-3.43367,-1.58995,-2.46808,-3.13501
-0.49371,-2.48184,1.58035,-2.01568,-2.81024,-3.51729,1.68483,-2.61409,-3.96350,-3.49235,-2.24102,-2.79169,-3.05734
-0.51100,-2.57743,1.55491,-1.99986,-3.27452,-3.84883,1.44081,-2.62498,-3.89376,-3.47030,-2.16485,-2.67872,-3.25930
-0.44845,-3.03169,1.67074,-2.44193,-4.01287,-4.17857,1.41516,-2.65817,-4.04344,-3.80449,-3.53390,-3.20215,-3.85650
-0.35756,-3.65275,0.70814,-2.55834,-4.01339,-4.57842,-2.52559,-3.60009,-4.06958,-4.14851,-3.73308,-3.08935,-4.21115
-0.22346,-3.83036,0.73169,-2.40932,-3.91465,-4.90383,-2.98716,-4.37529,-4.08135,-4.17120,-3.84354,-3.33360,-4.28365
-0.02903,-4.25175,0.75239,-2.71576,-4.38465,-5.13420,-3.52925,-4.77798,-4.65767,-4.82428,-4.43573,-3.52174,-4.53622
0.17730,-4.39229,0.94864,-2.62514,-4.42146,-5.24133,-3.29068,-5.25660,-4.93406,-4.99620,-5.16469,-3.39397,-4.59874
0.40618,-4.65252,1.01673,-2.81503,-4.90873,-5.35658,-3.42067,-5.65696,-5.20816,-4.81465,-5.61880,-3.52523,-5.20036
0.65575,-4.62661,0.88356,-3.00124,-4.60979,-5.24376,-3.49555,-5.76557,-5.22834,-4.69541,-5.16744,-3.91776,-5.14123
0.87655,-4.40002,0.81026,-2.92505,-4.71316,-4.84495,-3.24987,-5.54232,-4.95976,-4.55982,-4.89964,-3.93063,-4.37502
1.07822,-4.27425,0.75366,-2.90961,-4.57519,-4.30330,-3.17236,-5.35259,-4.99473,-4.61693,-4.52488,-3.98920,-4.30366
1.25629,-4.33927,0.76442,-3.04774,-4.79021,-4.63193,-3.17348,-5.49724,-4.92243,-4.71783,-4.38491,-4.02814,-4.19876
1.35494,-4.20508,0.79759,-2.86508,-4.49067,-4.82543,-3.15023,-5.42293,-4.79998,-4.63447,-4.25905,-3.78455,-3.81845
1.39796,-4.21827,0.74676,-3.04917,-4.23066,-4.63994,-3.15269,-5.46194,-5.01564,-4.37668,-4.01229,-3.93467,-4.30906
1.40400,-4.18121,0.73104,-2.96696,-4.24820,-4.50501,-3.37936,-5.49596,-4.92901,-4.43346,-3.99935,-3.74063,-4.11417
1.32654,-4.10044,0.73545,-2.81106,-4.51026,-4.47658,-3.16340,-5.27446,-4.73440,-4.36309,-3.98431,-3.73567,-3.95115
1.19135,-3.97670,0.66703,-2.60159,-4.31000,-4.57226,-3.51800,-4.81013,-4.41207,-4.43396,-3.62917,-3.50421,-3.97563
1.02828,-3.70704,0.68737,-2.56705,-4.35329,-4.35218,-2.97872,-4.36328,-4.17591,-4.03722,-3.53648,-2.82905,-3.87724
0.78904,-2.67479,0.88605,-1.55854,-3.39373,-4.06860,-1.18465,-2.92013,-3.30060,-3.24437,-2.35352,-2.18242,-2.54136
0.49431,-1.97478,1.59613,0.11898,-2.46385,-4.02631,1.16783,-2.49197,-3.35586,-2.79663,-1.08413,-2.09010,-2.72572
0.20574,-1.47439,1.45560,-0.17841,-1.25343,-2.51828,1.72917,-1.96573,-3.30672,-2.54227,-0.66859,-2.06726,-1.97237
-0.11453,-1.01123,1.30065,0.00700,-1.19406,-1.78789,1.00850,-0.92417,-3.37105,-2.15638,0.06488,-1.71388,-0.04524
-0.45925,-0.59248,1.35994,0.51541,-1.43776,0.80135,0.79119,-0.60300,-2.97476,-2.10558,0.12489,-1.60343,0.56688
-0.72575,-0.83908,0.90938,0.03113,-1.09840,0.36118,-0.13918,-0.71235,-2.28691,-2.10093,-0.26802,-1.60464,-0.57269
