cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
-0.44139,-0.16334,0.35047,-0.21237,-0.42659,0.22184,-0.01053,0.16722,-0.28585,-0.92877,-0.09936,0.20712,-0.26611
-0.44023,-0.02567,0.27131,-0.05429,-0.16634,0.20815,0.06241,0.22897,-0.25131,-0.57433,0.04396,0.36136,-0.11528
-0.43630,-0.15175,0.33229,-0.18222,-0.26206,0.14592,0.05487,0.17986,-0.38130,-0.88554,-0.08401,0.19703,-0.30008
-0.42962,-0.20849,0.37954,-0.24961,-0.40253,0.09642,-0.02138,0.15964,-0.39596,-1.08104,-0.16110,0.23003,-0.25935
-0.30239,-0.25603,0.35974,-0.33976,-0.38538,0.13597,-0.04212,0.14154,-0.41588,-1.05894,-0.24935,0.04985,-0.39627
-0.38739,-0.46344,0.37077,-0.69913,-0.72485,-0.04311,-0.38406,0.05627,-0.56923,-1.18052,-0.45099,-0.10348,-0.53531
-0.47264,-0.52418,0.39334,-0.76313,-0.82875,-0.16839,-0.24603,-0.01843,-0.61015,-1.29214,-0.44249,-0.15018,-0.72207
-0.55471,-0.37699,0.39969,-0.54687,-0.65513,-0.05242,0.01134,0.07825,-0.44792,-1.21369,-0.45475,0.00241,-0.49115
-0.63129,-0.35227,0.40074,-0.53712,-0.82144,-0.02659,0.05376,0.08779,-0.24031,-1.10329,-0.55057,-0.02005,-0.36490
-0.69925,-0.41651,0.37918,-0.62902,-0.90184,-0.21540,-0.03426,0.10172,-0.27800,-0.79695,-0.92103,-0.04388,-0.44642
-0.62054,-0.57561,0.47299,-0.74689,-1.14965,-0.39899,0.01242,0.03264,-0.42039,-1.31628,-0.96723,-0.15537,-0.64631
-0.76352,-0.77608,0.42683,-0.95404,-1.03108,-0.67323,-0.15957,-0.15828,-0.73434,-1.52775,-1.18171,-0.57816,-0.76267
-0.90129,-0.96309,0.40201,-1.06018,-1.07744,-1.29787,-0.64944,-0.31744,-0.93340,-1.70938,-1.23013,-0.59777,-0.75788
-1.02407,-1.03901,0.39774,-1.18752,-1.00029,-1.30864,-1.16509,-0.20980,-1.02879,-1.70371,-1.23982,-0.75668,-0.78981
-1.12953,-0.83851,0.50785,-1.17708,-0.95151,-1.16852,-0.09381,-0.03190,-0.82426,-1.60460,-1.28177,-0.57275,-0.67888
-1.21760,-0.84568,0.73149,-1.31411,-1.17476,-0.75462,0.89418,-0.29682,-1.07570,-1.68192,-1.45842,-0.69993,-0.89467
-1.09124,-0.80693,0.92514,-1.36505,-1.35787,-0.65128,1.19257,-0.19587,-1.10986,-1.68921,-1.45647,0.11387,-1.55013
-1.23194,-0.80198,0.96010,-1.31065,-1.40928,-0.81386,1.39344,-0.10527,-1.00011,-1.46846,-1.65712,-0.06682,-1.58170
-1.35903,-0.81804,0.94572,-1.31287,-1.42100,-0.81841,1.26816,-0.03240,-1.05488,-1.56116,-1.71430,-0.04059,-1.49294
-1.46322,-0.84524,0.90094,-1.24979,-1.44213,-0.79465,1.05563,-0.11639,-1.11073,-1.56754,-1.73896,0.03929,-1.52711
-1.54234,-0.64061,0.85761,-1.16985,-1.22812,-0.62419,0.99462,-0.10067,-1.02248,-1.26440,-1.63816,0.55415,-0.90703
-1.59919,-0.54275,0.97681,-1.17244,-0.89238,-0.01043,1.24221,-0.08699,-0.92240,-1.31489,-1.73539,0.75170,-1.28648
-1.63374,-0.52828,1.04439,-1.19371,-1.01886,0.03609,1.36038,-0.10896,-0.99766,-1.06775,-1.72990,0.94244,-1.50485
-1.47822,-0.61554,1.06636,-1.24605,-1.09537,0.08425,1.12865,-0.11999,-1.07177,-1.26153,-1.80803,0.97240,-1.73795
-1.56556,-0.57293,1.16887,-1.24704,-0.96705,0.01715,1.50211,-0.18715,-1.08174,-1.36088,-1.73744,1.17194,-1.83916
-1.63075,-0.80621,0.89994,-1.24297,-1.14508,-0.63544,0.59929,-0.28142,-1.16100,-1.61647,-1.79035,0.74872,-1.53741
-1.67343,-0.65361,0.90587,-1.14679,-0.89126,-0.68211,0.78244,-0.21217,-0.82254,-1.41738,-1.78997,0.93368,-1.29003
